Student_ID,Student_Full_Name,Gender,State,Category,Student_Marks_Percentage,Entrance_Exam,Entrance_Exam_Score,Course_Preference,College_Name,Branch,Historical_College_Cutoff_Marks,Previous_Year_Admission_Rank,Probability_of_Admission,College_Classification
66,1477,1,1,0,55.23,2,89,8,1009,8,98.5,132365,0.37,0
67,4480,1,1,2,69.27,2,159,2,379,2,87.19,85804,0.31,0
68,620,0,3,3,69.35,1,121,0,1738,0,81.38,176519,0.47,0
69,4424,0,9,0,65.46,5,97,0,765,0,77.5,177517,0.44,0
70,1935,0,11,3,96.63,1,128,0,238,0,73.9,81464,0.93,2
71,1114,0,1,0,60.76,1,192,9,688,9,78.96,110215,0.29,0
72,4463,0,1,1,65.25,4,604,3,1670,3,64.56,19201,0.64,1
73,2115,0,12,0,86.02,4,557,7,966,7,63.21,17144,0.89,2
74,4515,0,2,0,87.02,0,166,5,2076,5,96.51,133039,0.29,0
75,4632,1,5,0,82.13,3,80,9,2107,9,75.28,84241,0.56,1
76,4073,1,0,1,67.86,3,131,0,465,0,74.07,140088,0.41,0
77,4077,0,5,1,69.79,2,171,3,1546,3,93.1,42641,0.22,0
78,2456,0,1,0,75.02,3,119,2,2493,2,95.63,20795,0.38,0
79,1599,0,9,0,80.37,5,185,0,757,0,90.2,42209,0.39,0
80,4033,1,0,0,65.53,5,124,7,2273,7,80.29,109378,0.43,0
81,3827,0,10,3,71.5,2,84,8,2129,8,73.43,154117,0.19,0
82,4166,1,5,1,67.02,4,417,3,828,3,67.65,50141,0.36,0
83,331,0,7,0,75.04,3,96,6,2063,6,72.99,174539,0.75,1
84,4842,1,0,0,70.56,1,81,6,2453,6,78.01,45100,0.18,0
85,1954,1,0,0,59.57,0,288,6,1501,6,86.2,44782,0.31,0
86,1965,1,11,0,82.57,3,129,5,1168,5,88.3,41871,0.47,0
87,2362,1,4,1,85.11,4,631,7,2394,7,98.58,154022,0.4,0
88,1656,0,11,0,77.34,5,80,3,541,3,84.5,4276,0.32,0
89,2836,1,0,1,82.79,5,69,6,1107,6,69.81,77877,0.86,2
90,2903,0,2,0,84.58,4,272,6,2343,6,71.8,127999,0.83,2
91,2055,1,6,1,79.4,5,74,9,1878,9,84.85,37074,0.24,0
92,3904,1,2,1,68.55,0,238,2,577,2,98.64,97714,0.45,0
93,2548,0,6,0,80.72,0,83,7,2409,7,85.11,90900,0.28,0
94,1484,1,3,0,65.76,2,135,3,808,3,77.67,37655,0.44,0
95,1295,0,9,0,62.21,2,196,0,636,0,94.32,103678,0.34,0
96,1974,0,6,0,96.26,0,181,4,1900,4,83.31,40571,0.97,2
97,4436,1,13,1,98.44,0,60,1,1890,1,73.13,175122,0.83,2
98,1031,0,14,0,77.02,4,343,7,1571,7,64.89,168909,0.86,2
99,2423,1,11,3,80.24,2,116,4,425,4,87.07,85211,0.43,0
100,2683,0,14,2,68.54,0,83,2,284,2,66.55,109432,0.62,1
101,4176,0,7,0,56.8,0,121,2,2228,2,89.97,60049,0.19,0
102,2190,0,14,2,90.18,5,83,1,2073,1,68.66,17284,0.83,2
103,3243,1,8,0,83.59,0,109,2,377,2,75.3,164570,0.92,2
104,977,0,2,1,85.36,4,378,4,1875,4,71.67,123327,0.87,2
105,3551,1,3,1,58.45,4,561,6,929,6,97.32,27881,0.37,0
106,1277,1,9,0,88.95,1,204,0,1799,0,84.3,88881,0.71,1
107,2771,0,0,1,73.46,4,633,7,1661,7,72.1,154362,0.63,1
108,4586,1,9,1,83.05,0,154,7,242,7,74.32,119869,0.9,2
109,4822,1,2,1,74.48,4,230,3,2072,3,75.34,129242,0.38,0
110,4338,0,10,1,65.23,1,283,6,610,6,70.22,114141,0.2,0
111,4615,1,11,3,55.25,0,249,6,1318,6,83.11,158871,0.46,0
112,2320,0,9,0,70.12,1,232,2,1480,2,81.93,16911,0.34,0
113,2704,1,4,0,80.81,2,94,3,754,3,73.95,153085,0.7,1
114,558,1,3,0,75.52,2,78,0,1275,0,60.72,14948,0.88,2
115,3202,1,1,0,84.0,1,285,3,37,3,67.4,64567,0.89,2
116,4032,1,1,1,69.77,5,85,6,970,6,88.68,130494,0.41,0
117,4409,0,0,2,57.85,2,139,9,1124,9,85.78,18946,0.2,0
118,4779,0,1,0,79.9,5,113,6,1233,6,66.4,69669,0.94,2
119,2411,0,7,2,85.53,4,561,6,1696,6,97.85,30280,0.23,0
120,4395,0,12,1,89.59,1,237,7,1054,7,90.92,103920,0.24,0
121,2816,1,12,0,79.9,2,174,1,338,1,90.51,14457,0.44,0
122,97,1,2,1,78.45,2,185,5,1742,5,60.41,144025,0.94,2
123,1541,0,8,2,97.72,0,279,3,653,3,66.39,151812,0.92,2
124,4343,0,9,0,97.04,3,164,9,1498,9,63.51,131435,0.83,2
125,712,0,14,1,60.5,0,178,2,543,2,90.54,162906,0.47,0
126,2011,1,11,1,69.57,0,187,8,604,8,93.92,150793,0.48,0
127,2575,0,13,2,58.22,4,662,2,745,2,69.67,103580,0.23,0
128,575,1,6,1,95.92,3,121,8,2469,8,81.46,143918,0.94,2
129,2934,1,8,0,76.52,0,169,3,179,3,86.17,120868,0.4,0
130,2125,0,12,1,66.11,3,75,3,795,3,92.71,73807,0.27,0
131,3507,0,2,3,58.54,0,294,5,2006,5,82.11,14154,0.46,0
132,80,1,11,0,93.67,2,107,4,1454,4,86.13,56445,0.66,1
133,3727,1,10,0,93.74,0,136,3,1150,3,67.2,21214,0.88,2
134,2354,1,8,1,62.11,0,134,2,1884,2,60.3,58177,0.66,1
135,1779,1,2,1,89.48,3,64,7,1517,7,69.21,115899,0.86,2
136,1360,1,1,0,99.17,3,197,3,1923,3,89.84,44130,0.82,2
137,3840,0,9,0,79.8,4,710,3,773,3,94.29,63493,0.31,0
138,2383,0,0,2,63.15,5,157,8,1376,8,63.67,158687,0.24,0
139,1716,0,7,1,77.58,0,64,0,176,0,66.76,76611,0.95,2
140,4189,1,5,1,82.32,2,187,3,2421,3,71.03,37190,0.95,2
141,1852,0,9,2,69.57,5,69,2,1730,2,74.47,6027,0.22,0
142,4523,0,2,1,93.12,2,172,4,2435,4,68.06,100013,0.84,2
143,1756,1,4,1,56.97,1,194,6,508,6,85.02,139178,0.47,0
144,3848,1,7,1,88.8,3,97,5,1479,5,60.2,146620,0.86,2
145,3437,0,10,2,98.5,3,197,5,981,5,82.17,122569,0.98,2
146,982,1,12,0,96.09,4,269,3,208,3,95.15,14098,0.73,1
147,3297,1,13,0,84.21,2,75,3,1653,3,85.86,154444,0.41,0
148,493,1,14,0,76.36,5,190,3,1299,3,71.2,102031,0.56,1
149,3645,0,14,2,58.82,1,126,0,116,0,81.1,11377,0.34,0
150,706,1,12,1,66.88,1,145,3,2191,3,70.62,47287,0.35,0
151,3737,0,13,2,66.02,5,93,2,830,2,76.2,130919,0.17,0
152,2725,1,1,1,76.54,5,143,4,730,4,74.47,144168,0.8,1
153,910,1,6,0,95.58,0,143,1,539,1,79.98,87775,0.97,2
154,86,0,8,0,93.51,3,196,8,168,8,95.72,129266,0.42,0
155,4215,0,14,1,70.93,0,186,5,1437,5,62.2,161504,0.92,2
156,3146,0,2,0,68.05,4,685,8,367,8,71.2,32560,0.21,0
157,1488,1,3,0,58.06,4,399,0,1793,0,77.06,174613,0.38,0
158,2451,1,14,0,95.77,2,111,3,260,3,68.34,41924,0.85,2
159,3172,1,10,1,70.15,4,420,9,1578,9,74.86,48264,0.26,0
160,3636,1,2,1,91.42,4,246,8,730,8,98.69,17580,0.16,0
161,1925,0,5,0,78.49,4,645,2,990,2,68.91,164968,0.85,2
162,3933,0,6,2,88.97,4,264,6,2324,6,83.44,105068,0.67,1
163,3611,0,2,0,73.85,3,110,9,2088,9,95.79,91927,0.33,0
164,3483,0,14,1,59.59,3,65,3,2380,3,92.2,100076,0.41,0
165,4299,1,4,2,69.2,3,175,8,1466,8,96.26,145337,0.27,0
166,1433,0,12,1,87.32,2,165,5,805,5,72.03,97410,0.97,2
167,3057,1,3,0,70.06,4,566,1,1083,1,72.28,53088,0.42,0
168,499,0,7,1,96.69,5,159,0,1323,0,78.62,48362,0.89,2
169,4489,1,9,1,68.79,1,161,2,187,2,72.72,73373,0.37,0
170,871,0,8,3,80.42,1,152,3,347,3,72.9,50312,0.7,1
171,1151,1,1,0,64.52,2,71,7,1371,7,70.13,98402,0.25,0
172,1576,1,12,0,75.78,1,264,6,689,6,90.07,33707,0.28,0
173,2600,0,3,2,67.99,3,52,5,1823,5,81.35,45365,0.27,0
174,3658,1,9,0,70.18,3,169,0,1051,0,62.69,110997,0.62,1
175,2087,1,8,0,70.22,3,146,5,1851,5,65.45,161766,0.63,1
176,4052,0,5,1,66.42,2,192,2,1002,2,84.53,93635,0.24,0
177,2153,0,7,3,57.36,0,259,8,2172,8,86.36,45822,0.43,0
178,1454,1,14,0,91.99,4,390,4,79,4,77.74,24891,0.95,2
179,3795,1,0,2,81.98,5,182,4,898,4,66.69,29213,0.88,2
180,2719,1,9,1,92.76,4,255,2,598,2,74.42,63178,0.93,2
181,3458,0,0,1,73.66,5,136,5,2022,5,62.32,4640,0.92,2
182,2182,1,2,1,56.56,5,172,2,346,2,91.01,85869,0.39,0
183,548,0,7,2,66.66,3,144,6,1561,6,61.21,5451,0.79,1
184,2655,0,3,0,77.98,2,92,2,1598,2,89.51,154445,0.46,0
185,4097,0,14,0,98.15,5,135,2,60,2,83.91,138292,0.96,2
186,3448,0,8,0,63.82,3,194,5,1348,5,84.28,48545,0.48,0
187,1651,1,13,3,76.37,1,130,1,2373,1,98.23,78266,0.26,0
188,4138,0,4,0,79.05,5,141,3,1857,3,70.1,16878,0.91,2
189,793,1,0,1,56.76,2,156,4,386,4,80.59,71453,0.21,0
190,1842,0,9,1,58.72,4,546,7,2297,7,94.05,123998,0.37,0
191,3587,0,0,0,81.78,1,225,1,1846,1,69.36,18387,0.92,2
192,1436,0,13,0,98.58,0,118,5,2077,5,66.88,97647,0.9,2
193,2857,1,0,1,69.24,5,84,7,988,7,63.84,78818,0.59,1
194,1657,0,2,3,59.37,2,113,9,1594,9,74.64,19062,0.22,0
195,1013,0,8,1,64.06,2,167,9,181,9,82.65,129522,0.49,0
196,1586,0,14,0,76.42,0,248,0,47,0,71.36,32914,0.73,1
197,3986,0,1,1,55.27,2,185,7,776,7,71.22,148733,0.19,0
198,23,1,3,0,57.28,5,78,7,2158,7,67.89,26273,0.2,0
199,536,1,1,2,58.85,4,508,2,1518,2,91.91,96984,0.3,0
200,2991,1,11,0,87.24,1,248,6,1644,6,66.65,1389,0.86,2
201,4548,0,6,0,77.28,3,73,9,429,9,86.1,87799,0.42,0
202,3242,1,4,0,63.92,5,71,5,1431,5,92.71,160226,0.23,0
203,3843,0,10,0,71.82,0,259,4,769,4,96.16,39337,0.3,0
204,4324,0,7,0,64.22,5,176,0,412,0,89.64,101270,0.42,0
205,3469,1,1,3,94.3,2,119,0,1405,0,75.48,133601,0.97,2
206,827,0,13,1,78.92,2,93,4,669,4,83.04,126493,0.27,0
207,1514,1,9,2,92.44,4,664,2,467,2,89.31,27391,0.62,1
208,3124,0,1,1,81.68,5,62,6,314,6,67.03,60331,0.86,2
209,3311,0,14,1,80.44,0,198,2,1677,2,88.06,85773,0.47,0
210,3826,0,7,0,65.99,1,240,0,622,0,70.0,72346,0.28,0
211,2527,0,4,0,82.51,5,86,7,1408,7,64.58,111593,0.9,2
212,897,1,12,2,92.79,0,223,6,2465,6,78.5,3593,0.91,2
213,4675,1,14,0,81.05,0,176,6,592,6,66.01,19789,0.93,2
214,4387,1,13,1,69.53,0,242,8,1725,8,76.28,178326,0.42,0
215,494,1,3,3,55.43,0,195,9,1269,9,62.37,123965,0.45,0
216,1857,1,12,1,83.71,1,229,1,931,1,88.72,104944,0.24,0
217,2790,0,8,0,69.42,5,187,0,936,0,60.45,171439,0.95,2
218,4268,1,5,2,64.84,1,298,5,1490,5,65.1,100576,0.27,0
219,1479,0,3,1,99.33,4,572,1,2361,1,81.6,8741,0.94,2
220,929,1,1,1,98.43,1,185,5,206,5,68.62,102177,0.94,2
221,4049,1,5,1,89.97,3,96,2,1476,2,69.89,85369,0.92,2
222,2256,1,7,2,99.0,5,55,7,1674,7,78.08,53731,0.9,2
223,2340,0,3,0,69.92,0,109,7,444,7,61.78,35265,0.95,2
224,3614,1,12,0,94.44,4,313,4,1608,4,65.08,86095,0.86,2
225,1459,1,5,0,68.0,0,68,8,593,8,78.7,29609,0.36,0
226,2479,0,3,0,91.82,4,639,7,2498,7,68.31,179689,0.84,2
227,2413,1,12,0,59.86,3,61,1,1218,1,87.48,135095,0.4,0
228,3096,0,2,0,65.48,2,198,3,751,3,79.63,107529,0.36,0
229,2282,1,5,0,70.07,1,85,9,1672,9,71.23,43725,0.2,0
230,3850,1,14,0,75.01,5,102,7,2434,7,60.88,116088,0.84,2
231,3082,0,7,0,93.87,2,168,2,575,2,62.3,57538,0.84,2
232,933,0,11,0,65.75,5,93,7,1269,7,83.04,124074,0.2,0
233,3166,1,7,0,99.62,4,423,6,1552,6,90.32,153884,0.91,2
234,4578,0,11,0,64.56,4,263,9,2123,9,77.45,43511,0.33,0
235,3051,1,2,1,90.12,5,157,2,1433,2,95.75,16080,0.17,0
236,2172,1,6,0,62.12,3,96,2,1712,2,81.26,50138,0.48,0
237,2691,1,10,0,89.16,2,53,0,639,0,79.6,143972,0.97,2
238,691,0,5,3,72.76,3,64,7,2411,7,68.25,167249,0.63,1
239,2073,1,3,0,55.21,0,68,8,1361,8,90.05,13000,0.44,0
240,532,1,13,0,58.75,2,198,8,1539,8,62.96,87415,0.47,0
241,2309,1,4,0,64.99,4,482,2,1234,2,86.25,125164,0.32,0
242,1332,0,13,1,80.47,2,89,9,711,9,92.6,92381,0.18,0
243,1922,1,7,0,89.05,2,179,9,1542,9,67.21,123971,0.89,2
244,914,0,4,2,72.21,3,147,5,101,5,72.41,120446,0.26,0
245,156,0,6,0,83.54,5,56,6,2231,6,97.43,83713,0.22,0
246,1761,1,5,1,71.31,3,152,5,1854,5,80.77,1125,0.36,0
247,4119,0,14,2,80.56,5,193,3,982,3,60.19,39682,0.95,2
248,309,0,1,2,55.62,2,110,7,2204,7,81.6,156057,0.41,0
249,4379,0,3,1,96.31,5,119,1,1487,1,80.11,22134,0.83,2
250,1713,0,2,0,77.86,4,560,2,65,2,62.72,36660,0.83,2
251,2576,0,6,2,75.02,1,285,3,719,3,85.92,4057,0.26,0
252,1764,1,2,2,55.14,5,182,9,1493,9,66.59,165772,0.19,0
253,3273,1,6,0,65.05,1,161,7,2321,7,77.26,29172,0.3,0
254,1117,1,5,0,94.03,0,101,6,175,6,63.88,100225,0.82,2
255,1059,0,14,1,56.66,1,92,7,2197,7,71.39,57281,0.23,0
256,1084,0,12,0,95.61,3,125,8,2003,8,94.92,134672,0.69,1
257,2535,1,0,1,67.58,4,218,1,761,1,72.11,146107,0.17,0
258,4182,0,3,1,96.06,3,149,7,1559,7,60.77,30753,0.93,2
259,1637,0,13,1,72.09,1,106,3,1728,3,94.72,13579,0.32,0
260,2758,1,3,2,91.71,1,173,2,1851,2,96.31,99645,0.16,0
261,1886,1,10,0,92.44,1,190,5,456,5,88.16,85098,0.63,1
262,3045,1,10,0,61.15,0,78,0,978,0,88.41,148799,0.36,0
263,3552,1,12,0,62.39,1,286,5,1926,5,78.3,57622,0.41,0
264,1981,1,14,0,65.4,1,127,5,418,5,70.33,122107,0.4,0
265,2893,0,5,0,71.83,2,165,5,1575,5,75.15,175665,0.16,0
266,1404,1,9,1,86.19,1,211,1,154,1,92.49,11789,0.39,0
267,4205,1,10,0,89.18,4,537,9,1528,9,78.95,24566,0.9,2
268,4192,1,10,0,95.86,5,93,9,580,9,61.48,64658,0.96,2
269,1021,0,6,1,80.3,5,169,5,800,5,67.48,151163,0.88,2
270,4150,1,6,0,77.36,1,222,0,1896,0,98.68,83531,0.2,0
271,3353,1,11,1,93.41,3,122,2,914,2,61.54,9528,0.86,2
272,4672,0,14,1,97.38,3,154,3,806,3,65.87,305,0.87,2
273,296,1,4,0,57.35,3,155,3,1877,3,78.14,73183,0.32,0
274,4860,1,7,1,85.22,0,95,7,12,7,74.02,70766,0.87,2
275,1837,1,14,1,58.97,2,101,5,1936,5,92.34,76568,0.2,0
276,1417,0,1,2,72.15,1,229,3,437,3,98.5,127028,0.39,0
277,1533,0,3,0,67.89,5,164,5,1739,5,79.49,77480,0.47,0
278,4698,0,2,0,98.61,5,129,8,988,8,95.33,121092,0.6,1
279,1523,1,5,0,67.35,4,557,0,703,0,71.89,18873,0.31,0
280,2079,0,5,0,58.32,0,139,7,35,7,75.84,177927,0.23,0
281,3817,1,10,1,78.46,5,97,9,567,9,62.48,99257,0.94,2
282,4228,1,10,0,74.11,4,356,9,8,9,94.56,31551,0.28,0
283,3170,0,7,1,73.73,0,213,9,1290,9,69.97,127366,0.6,1
284,3655,1,5,1,88.43,5,191,4,854,4,72.1,4240,0.95,2
285,4631,0,3,1,82.8,4,537,7,2410,7,77.73,147860,0.71,1
286,4497,0,12,0,77.66,2,122,5,2155,5,82.99,19464,0.35,0
287,751,0,6,0,63.47,2,69,0,232,0,79.16,9201,0.27,0
288,3302,1,11,1,87.34,5,114,7,175,7,74.82,121621,0.93,2
289,4684,0,13,1,70.21,4,578,8,1078,8,62.77,100980,0.74,1
290,2563,0,12,1,68.75,4,565,3,676,3,66.99,13027,0.74,1
291,1812,1,7,0,75.56,5,159,8,893,8,79.34,18916,0.47,0
292,1839,1,14,0,90.99,3,59,9,779,9,63.34,82744,0.96,2
293,1959,1,12,0,80.37,1,137,2,699,2,73.15,138856,0.64,1
294,2315,1,6,2,85.55,3,179,1,759,1,89.55,168063,0.42,0
295,3800,0,7,0,62.5,4,255,3,1276,3,82.25,52722,0.15,0
296,1033,0,7,1,57.75,0,113,2,1423,2,77.44,165346,0.17,0
297,2921,0,3,1,97.75,0,129,2,2233,2,64.5,27345,0.87,2
298,2647,1,14,0,86.26,5,109,6,1490,6,98.49,27603,0.47,0
299,1235,1,4,1,76.23,0,284,6,1607,6,63.96,157017,0.9,2
300,1040,0,6,0,96.49,2,146,8,21,8,77.28,17317,0.84,2
301,958,1,6,0,60.72,5,140,8,2398,8,60.71,88452,0.62,1
302,3915,0,10,1,86.72,2,171,9,768,9,60.46,86152,0.86,2
303,2488,1,5,2,95.2,2,130,6,1262,6,66.57,26302,0.85,2
304,4630,0,14,0,75.22,4,611,6,1382,6,70.05,68200,0.8,1
305,3020,0,9,0,75.04,4,342,4,989,4,93.55,87104,0.46,0
306,1828,1,10,0,61.0,0,250,5,1246,5,71.82,147301,0.28,0
307,483,1,6,0,87.33,0,204,2,1381,2,81.0,9472,0.62,1
308,2186,1,3,0,70.29,4,300,4,1943,4,83.17,38606,0.32,0
309,2910,1,7,1,79.12,1,177,0,2296,0,83.36,178127,0.32,0
310,964,0,11,0,63.15,1,251,0,683,0,84.07,8028,0.19,0
311,1456,0,3,2,77.73,2,199,0,944,0,76.71,128991,0.7,1
312,1704,0,4,0,73.46,0,201,2,2300,2,84.9,159338,0.43,0
313,1769,0,8,3,91.38,5,184,3,2086,3,71.56,92982,0.97,2
314,2718,0,1,0,76.28,2,138,9,121,9,66.91,115051,0.88,2
315,4034,1,1,0,89.42,3,191,4,1816,4,76.35,100212,0.82,2
316,665,1,7,1,81.73,4,657,3,349,3,87.71,106887,0.31,0
317,4800,0,14,0,96.25,3,111,8,1372,8,68.49,115672,0.92,2
318,1903,0,10,1,55.58,3,145,2,2202,2,77.42,10028,0.26,0
319,1081,0,14,0,92.7,1,283,6,1444,6,95.77,149193,0.41,0
320,4642,1,3,0,66.58,2,122,1,1424,1,81.57,33873,0.44,0
321,1318,1,1,0,73.02,4,308,3,117,3,64.16,100626,0.89,2
322,943,0,0,1,78.3,0,125,3,2306,3,95.56,2334,0.36,0
323,2441,0,12,2,58.42,3,89,5,1401,5,95.65,177151,0.23,0
324,2219,1,4,1,80.48,0,95,7,1790,7,63.39,40077,0.96,2
325,3459,1,14,1,92.94,0,88,0,2131,0,91.75,34959,0.74,1
326,2466,1,11,0,56.01,0,200,3,2377,3,72.94,156408,0.49,0
327,4158,0,1,0,75.13,1,240,1,2276,1,91.73,159923,0.18,0
328,4326,0,8,2,61.55,0,158,6,812,6,86.13,62054,0.45,0
329,4369,0,5,2,75.47,0,265,6,1322,6,87.17,40177,0.22,0
330,3879,0,5,0,70.83,1,256,9,1110,9,76.85,47136,0.23,0
331,3034,1,2,1,77.6,5,180,6,1141,6,78.11,70184,0.38,0
332,3470,1,11,1,91.98,3,87,7,169,7,71.97,80764,0.84,2
333,882,0,12,1,98.05,3,186,5,274,5,72.78,20874,0.94,2
334,4590,1,4,2,85.01,2,58,0,1975,0,91.06,27024,0.33,0
335,4857,0,2,1,68.77,1,214,9,382,9,76.66,74470,0.37,0
336,1750,0,14,0,63.68,0,111,1,511,1,76.96,126223,0.31,0
337,4075,0,13,1,93.53,2,153,5,1274,5,76.47,76781,0.9,2
338,3281,0,9,0,60.77,5,55,6,357,6,78.74,60297,0.34,0
339,3527,0,10,2,99.76,3,159,3,1804,3,63.84,84860,0.84,2
340,2361,0,2,0,89.86,3,176,5,408,5,96.72,51110,0.38,0
341,1644,1,11,2,92.98,2,197,0,2287,0,63.12,55789,0.96,2
342,390,1,10,1,76.14,1,79,9,201,9,60.57,96795,0.84,2
343,870,1,2,0,57.06,0,78,9,191,9,77.39,74475,0.5,0
344,116,0,3,1,93.95,3,177,0,679,0,66.62,75628,0.93,2
345,3498,0,7,1,99.49,0,66,9,784,9,89.34,146652,0.96,2
346,760,1,12,0,59.43,4,570,4,55,4,87.51,101668,0.23,0
347,1847,1,8,1,99.54,4,476,1,2226,1,66.97,147999,0.92,2
348,420,0,4,1,93.38,2,122,8,1622,8,83.04,117318,0.92,2
349,1731,0,8,1,86.5,1,116,9,1018,9,76.63,64735,0.96,2
350,4418,1,14,0,65.77,4,442,4,606,4,70.96,121479,0.29,0
351,2995,0,11,1,83.54,3,198,7,1962,7,95.84,46576,0.23,0
352,2830,1,7,0,56.05,1,254,8,1588,8,66.87,157902,0.44,0
353,3039,0,3,0,65.78,0,177,3,1496,3,97.5,69882,0.47,0
354,2428,0,5,0,95.02,4,282,0,2101,0,66.87,888,0.89,2
355,4707,1,14,0,97.72,3,191,7,456,7,62.24,47204,0.87,2
356,3532,0,5,1,68.95,2,159,9,488,9,80.41,42852,0.16,0
357,3970,0,2,0,75.07,1,252,9,23,9,72.01,54116,0.7,1
